word,machine,human,label
tragedy,masifa,tausayi,negative
keepsake,kiyayewa,kiyayewa,positive
loner,kadaici,kadaici,negative
dilapidated,dilapidated,lalatacce,negative
grieve,yi baƙin ciki,yi baƙin ciki,negative
gymnast,mai wasan motsa jiki,mai wasan motsa jiki,positive
liberal,mai sassaucin ra'ayi,mai sassaucin ra'ayi,positive
molest,lalatacce,lalatacce,negative
symptoms,bayyanar cututtuka,bayyanar cututtuka,negative
infirm,m,rashin  hankali,negative
falsity,ƙarya,ƙarya,negative
unsecured,rashin tsaro,rashin tsaro,negative
compelling,tursasawa,tursasawa,positive
healing,waraka,waraka,positive
downcast,kaskantar da kai,kaskantar da kai,negative
coolness,sanyin jiki,sanyin jiki,positive
luckily,anyi sa'a,anyi sa'a,positive
winning,cin nasara,cin nasara,positive
suspicion,zato,zato,negative
sanctimonious,tsarkakakke,tsarkakakke,negative
disingenuously,disingenuously,rashin kyauta,negative
clown,wawa,cali-cali,positive
vigilance,lura,lura,positive
stable,barga,daidaito,positive
appall,cikawa,cikawa,negative
screaming,ihu,ihu,negative
lascivious,lasoshi,jarababbe,negative
lifeblood,jinin rai,ginshiki,positive
finer,finer,mafi kyau,positive
beckoning,waswasi,yin jinjina,positive
pool,tafki,tafki,positive
contemptuously,raini,raini,negative
sparkle,walƙiya,walƙiya,positive
complements,cikawa,cikawa,positive
worsens,damuwa,damuwa,negative
durability,karko,karko,positive
terrorist,'yan ta'adda,'yan ta'adda,negative
fiendish,fiendish,na abota,negative
coerced,tilasta,tilasta,negative
peculiarities,peculiarities,na musamman,negative
degrading,kaskanci,kaskanci,negative
dispensable,wanda za'a iya rarrabawa,wanda za'a iya rarrabawa,negative
owing,saboda,abin da ke jan,negative
wrathful,fushi,fushi,negative
better-than-expected,mafi kyau-fiye da tsammani,mafi kyau-fiye da tsammani,positive
invigorate,kuzari,kuzari,positive
apologises,yi hakuri,yana afuwa,negative
theoretical,ka'idar,na kai'ida,positive
individuality,daidaici,daidaici,positive
rejoices,murna,murna,positive
imperfect,ajizai,ajizanci,negative
expired,ya ƙare,ya ƙare,negative
disappoints,damuwa,yana  kunyatarwa,negative
comely,kyakkyawa,kyakkyawa,positive
recommendations,shawarwari,yabawa,positive
sane,mai hankali,mai hankali,positive
wot,wot,kaifin basira,positive
inefficiently,rashin iya aiki,rashin iya aiki,negative
uncomfortable,m,mara dadi,negative
unaccustomed,saba,ki sabo,negative
dastard,dastard,kaskantaccen mutum,negative
solidity,ƙarfi,ƙarfi,positive
beneficiary,mai cin gajiyarta,mai cin gajiyarta,positive
tiring,mai gajiya,mai gajiya,negative
low-priced,mai rahusa,mai rahusa,positive
opponent,abokin gaba,abokin gaba,negative
pluses,ƙari,ƙari,positive
bent,lankwasa,lankwasa,negative
confederate,hadaddiya,hadaddiya,positive
pamperedly,cikin nutsuwa,cikin shagwaba,positive
litigation,shari'a,shari'a,negative
enjoyable,m,abin morewa,positive
scarily,ban tsoro,ban tsoro,negative
intolerance,rashin haƙuri,rashin haƙuri,negative
personages,kulawa,kulawa,positive
subversively,subarwa,subarwa,negative
hurtful,m,mai ciwo,negative
richly,da arziki,da arziki,positive
dishearten,karaya,karaya,negative
smuttier,smuttier,mafi dauda,negative
knave,ƙwanƙwasa,ƙwanƙwasa,negative
useful,amfani,amfani,positive
vengeance,fansa,fansa,negative
greetings,gaisuwa,gaisuwa,positive
inelegant,mara kyau,mara kyau,negative
neurotically,ba tare da damuwa ba,ba tare da damuwa ba,negative
caricature,caricature,zane mai matukar kama,negative
disease,cuta,cuta,negative
well-positioned,an daidaita shi sosai,an daidaita shi sosai,positive
bright,mai haske,mai haske,positive
chances,damar,damammaki,positive
guarantee,garanti,tabbaci,positive
rock,dutse,dutse,positive
protector,majiɓinci,mai kariya,positive
attacked,kai hari,kai hari,negative
passionate,m,mai shauki,positive
nettle,nettle,fusata wani,negative
incalculable,marar lissafin,marar lissafin,negative
rear,baya,baya,negative
wariness,taka tsantsan,taka tsantsan,negative
fatigues,fatigues,ya gaji,negative
fraudster,mai zamba,Dan damfara,negative
debtor,bashi,bashi,negative
monotony,monotony,gundura,negative
bribe,cin hanci,cin hanci,negative
superiority,fifiko,fifiko,positive
disagreeing,rashin yarda,rashin yarda,negative
rightfully,daidai,daidai,positive
dipshit,tsoma bakin ciki,tsoma bakin ciki,negative
ambiguous,shubuha,shubuha,negative
overtakes,wucewa,ya wuce,positive
commutation,canjawa,canjawa,positive
carelessness,rashin kulawa,rashin kulawa,negative
fantastically,abin mamaki,abin mamaki,positive
promiscuous,lalata,lalata,negative
self-serving,son kai,son kai,negative
ultimately,ƙarshe,ƙarshe,positive
lonesome,kadaici,kadaici,negative
unable,iya,kasa,negative
hurricane,guguwa,guguwa,negative
crumble,marmashe,marmashe,negative
grin,murmushi,murmushi,positive
conciliatory,sulhu,sulhu,positive
bureaucracy,tsarin mulki,tsarin mulki,negative
apathetic,rashin kulawa,rashin kulawa,negative
succes,yi nasara,yi nasara,positive
loud,da ƙarfi,da ƙarfi,negative
hustler,hustler,mai kunga-kunga,negative
disobey,rashin biyayya,rashin biyayya,negative
punk,fandare,fandare,negative
pertussis,pertussis,mugun tari,negative
reassurance,tabbaci,kuma tabbatarwa,positive
beholden,duba,duba,negative
amicability,amicability,abota,positive
aground,aground,a kasa,negative
diary,littafin diary,kundi,positive
easing,sassautawa,sassautawa,positive
monopolize,mallakinta,mallake,negative
sparkling,kyalkyali,kyalkyali,positive
simplifying,sauƙaƙe,sauƙaƙe,positive
wobbles,wobbles,yana  rawar jiki,negative
adviser,mai ba da shawara,mai ba da shawara,positive
incautious,rashin hankali,rashin hankali,negative
contravene,saba wa,hananne,negative
romanticize,soyayyar,soyayyar,positive
dunce,dunki,dunki,negative
awsome,awsome,mai ban mamaki,positive
grenade,gurneti,gurneti,negative
instantly,nan take,nan take,positive
syncope,syncope,karancin jini,negative
spew,spew,kwarara,negative
intransigence,rashin kwanciyar hankali,rashin kwanciyar hankali,negative
cruciate,giciye,giciye,negative
disqualified,rashin cancanta,rashin cancanta,negative
pitfall,rami,rami,negative
conspirator,mayaudari,mayaudari,negative
dusty,m,mai kura,negative
defiantly,ba da kai ba,ba da kai ba,negative
outrage,bacin rai,bacin rai,negative
accurately,daidai,daidai,positive
great,babba,babba,positive
cowardly,matsoraci,a tsorace,negative
clarifies,bayyana,bayyana,positive
defunct,daina aiki,daina aiki,negative
torment,azaba,azaba,negative
restore,mayar,mayar,positive
blessing,albarka,yin albarka,positive
revulsive,mai wartsakewa,mai wartsakewa,negative
infiltrators,masu shiga ciki,masu shiga ciki,negative
misfortune,masifa,rashin saa,negative
feeblely,kasawa,kasawa,negative
insubstantially,insubstanously,rashin kwari,negative
protesting,nuna rashin amincewa,nuna rashin amincewa,negative
increase,karuwa,karuwa,positive
unusually,sabon abu,sabon abu,negative
nonsensical,marasa ma'ana,marasa ma'ana,negative
lovably,abin kauna,abin kauna,positive
infuriating,tsokana,tsokana,negative
sh*t,sh * t,aikin banza,negative
admirer,mai son,mai sha'awa,positive
revengeful,ramawa,na ramuwa,negative
doomed,wanzuwa,wanzuwa,negative
pay,biya,biya,negative
brazenness,brazenness,rashin kunya,negative
measured,auna,auna,positive
dissidents,masu adawa,masu adawa,negative
regulatory,m,daidaitawa,negative
humbled,kaskantar da kai,kaskantar da kai,positive
conflictive,rikici,rikici,negative
befoul,zama mara kyau,zama mara kyau,negative
strategic,dabaru,dabaru,positive
disagreeable,m,wanda ba a yarda da shi ba,negative
resistance,juriya,juriya,negative
refused,ƙi,ƙi,negative
compensate,rama,rama,positive
funnier,dariya,mai ban dariya sosai,positive
detect,gane,gane,positive
indenture,indenture,yarjejeniya,negative
blight,cuta,cuta,negative
crescendo,crescendo,hauhawa,positive
detachment,rarrabuwa,rarrabuwa,negative
vulture,ungulu,ungulu,negative
riled,riled,fusatarwa,negative
sparkles,walƙiya,walƙiya,positive
pet,dabbar gida,dabbar gida,negative
proctor,proctor,mai kula da jarrabawa,positive
advance,ci gaba,ci gaba,positive
greet,gaishe,gaishe,positive
aghast,girgiza,girgiza,negative
slum,unguwa,unguwa,negative
irragularity,rashin daidaituwa,rashin daidaituwa,negative
thirsty,ƙishirwa,ƙishirwa,negative
misinterpret,rashin fahimta,rashin fahimta,negative
importance,muhimmanci,muhimmanci,positive
vestiges,kayan aiki,kayan aiki,negative
tentatively,tsayayye,tsayayye,negative
cunt,al'aura,al'aura,negative
incoherent,rashin daidaituwa,rashin daidaituwa,negative
prefer,fi so,fi so,positive
enough,isa,isa,positive
viewable,wanda za'a iya gani,wanda za'a iya gani,positive
negotiate,tattauna,tattauna,positive
edify,ingantawa,ingantawa,positive
undying,m,ki mutu,positive
exemption,keɓancewa,keɓancewa,positive
harms,cutarwa,yana cutarwa,negative
ecstatic,farin ciki,farin ciki,positive
stillborn,matacce,matacce,negative
allay,sauka,sauka,positive
dishonorable,rashin mutunci,rashin mutunci,negative
difficulties,matsaloli,matsaloli,negative
surmise,zato,zato,positive
adventure,kasada,kasada,positive
efficient,ingantaccen,ingantaccen,positive
admonition,wa'azi,wa'azi,negative
top,saman,saman,positive
pioneer,majagaba,majagaba,positive
revolutionized,canzawa,canzawa,positive
blind,makaho,makaho,negative
detained,tsare,tsare,negative
outperform,fiye da yadda aka saba,fiye da yadda aka saba,positive
possession,mallaka,mallaka,negative
mistrust,rashin yarda,rashin yarda,negative
chloroform,chloroform,sinadari,negative
liked,so,so,positive
spurn,zub da jini,zub da jini,negative
accountability,hisabi,kididdiga,positive
crumpled,marmashe,marmashe,negative
burn,ƙone,ƙone,negative
enthusiasm,babbar sha'awa,babbar sha'awa,positive
audaciousness,karasowa,karasowa,negative
blighted,blighted,cuta,negative
eagerly,cikin ɗoki,cikin ɗoki,positive
spammers,masu tsegumi,masu tsegumi,negative
charm,fara'a,fara'a,positive
bashful,bashful,zagi,negative
fucked,fucked,ci gindi,negative
vibrates,makarkata,yana girgiza,negative
mind-blowing,hankali-hurawa,mai tada hankali,positive
misbehave,misbehave,shirme,negative
cajole,cajole,barkwanci,positive
fleeing,guduwa,guduwa,negative
stuttered,yayi santi,yayi santi,negative
incur,jawo,jawo,negative
uphill,tudu,tudu,positive
roomier,mai daki,mai daki,positive
coolest,mafi kyau,mafi kyau,positive
overweight,kiba,teba,negative
groundless,mara tushe,mara tushe,negative
glib,glib,yin zance da karsashi ba ma'ana,negative
rumours,jita-jita,jita-jita,negative
scandal,abin kunya,abin kunya,negative
hedge,shinge,shinge,negative
reasonable,mai hankali,mai hankali,positive
exultant,yi murna,yi murna,positive
sporadic,lokaci-lokaci,lokaci-lokaci,negative
stripped,ya tube,ya tube,negative
mischiefs,barna,ya  barnatar,negative
felon,felon,aikata muhimmin laifi,negative
tenaciously,farwaji,kankanmewa,positive
recast,sake maimaitawa,sake maimaitawa,positive
agonies,tashin hankali,tashin hankali,negative
masochism,masochism,fitar maniyi don wuya,negative
restores,mayar,mayar,positive
dimmer,dimmer,makunnin rage haske,negative
forbid,hana,hana,negative
steadfast,masu haƙuri,masu haƙuri,positive
reaches,ya kai,ya kai,positive
pratfall,pratfall,abin tozarci,negative
interdiction,interdiction,haramtawa,negative
amen,amin,amin,positive
pope,shugaban Kirista,shugaban Kirista,positive
perish,halaka,halaka,negative
tarnish,shafawa,disaahewa,negative
shopping,cin kasuwa,cin kasuwa,positive
ambition,buri,buri,positive
discussion,tattaunawa,tattaunawa,positive
core,cibiya,muhimmi,positive
subsidizes,tallafi,tallafi,positive
evocative,m,sosa zuciya,positive
uncollectible,ba a karba,ba a karba,negative
hag,hag,damuwa da gajiya,negative
row,jere,jere,negative
high-priced,mai tsada,mai tsada,negative
imperious,mara mutunci,mara mutunci,negative
pry,nuna,nuna,negative
loathes,ƙyama,ƙyama,negative
hardier,mawuyacin hali,mawuyacin hali,positive
bemoaning,baƙin ciki,baƙin ciki,negative
violating,keta,keta,negative
cozy,jin dadi,jin dadi,positive
squatter,tsugune,tsugune,negative
remarkably,yadda ya kamata,yadda ya kamata,positive
righteous,masu adalci,mai adalci,positive
upseting,damuwa,damuwa,negative
lint,lint,tsumma,negative
distressing,damuwa,damuwa,negative
virgin,budurwa,budurwa,positive
instrumental,kayan aiki,kayan aiki,positive
untoward,ba daidai ba,ba daidai ba,negative
deterrent,hana,hana,negative
united,gama kai,gama kai,positive
pretending,yin riya,riyawa,negative
solicitude,neman taimako,neman taimako,negative
stately,mai mutunci,mai mutunci,positive
autocrat,mai mulkin kai,mai mulkin kai,negative
nurture,tarbiyya,tarbiyya,positive
disengagement,rabuwar kai,rabuwar kai,negative
heroism,jarumtaka,jarumtaka,positive
versus,gabansa,gabansa,negative
lamb,dan tunkiya,dan tunkiya,positive
hooligan,hooligan,dan iska,negative
hunting,farauta,farauta,negative
wrangle,takaddama,takaddama,negative
option,zaɓi,zaɓi,positive
reform,gyara,gyara,positive
hacked,an yi hacked,kutse,negative
spasm,spasm,jin radadi a jiki,negative
villainous,mugunta,mugunta,negative
archaic,tsufa,tsufa,negative
leer,leer,kallon jaraba,negative
disinclination,rashin hankali,rashin hankali,negative
claw,faratu,faratu,negative
restrain,takura,takura,negative
ill-tempered,rashin zafin rai,mugun fushi,negative
uproar,hayaniya,hayaniya,negative
run-down,run-down,sauka,negative
flirt,kwarkwasa,kwarkwasa,negative
fanatical,mai tsattsauran ra'ayi,mai tsattsauran ra'ayi,negative
leaky,malala,malala,negative
quash,quash,haramtawa,negative
bondage,kangin bauta,kangin bauta,negative
vicious,mugu,mugu,negative
quiet,shiru,shiru,positive
blatant,bayyananniya,bayyananniya,negative
prefered,aka fi so,aka fi so,positive
rebellion,tawaye,tawaye,negative
spice,yaji,yaji,positive
conciliating,sulhu,sulhu,positive
obstructive,m,hanawa,negative
corrupt,lalatacce,lalatacce,negative
tempest,hadari,hadari,negative
discordance,sabani,sabani,negative
insult,zagi,zagi,negative
orderly,tsari,tsari,positive
unwilling,rashin so,rashin so,negative
unorthodox,sabawa,sabawa,negative
priesthood,firist,harkar majami'a,positive
voodoo,voodoo,addinin karebiya,negative
impeccably,impeccably,rashin aibu,positive
appealing,roko,roko,positive
beckoned,duba,jinjina,positive
burning,konawa,konawa,negative
excessively,wuce gona da iri,wuce gona da iri,negative
rift,ɓarkewa,ɓarkewa,negative
pain,zafi,radadi,negative
momentous,muhimmanci,muhimmanci,positive
virtuous,na kirki,na kirki,positive
upbeat,upbeat,fatan kyawun karshe,positive
cage,keji,keji,negative
shared,raba,raba,positive
bravery,jaruntaka,jaruntaka,positive
breakneck,karya,karya,negative
wear,sa,sa,negative
worrisome,worrisome,abin damuwa,negative
bonds,shaidu,shaidu,negative
thrash,Bayar,Bayar,negative
midwifery,ungozoma,ungozoma,positive
monster,dodo,dodo,negative
grieved,yi baƙin ciki,yi baƙin ciki,negative
merriment,abin yabo,abin yabo,positive
utility,mai amfani,mai amfani,positive
trifle,banza,banza,negative
disintegration,wargajewa,wargajewa,negative
depravedly,lalaci,lalaci,negative
exposing,bayyanawa,bayyanawa,negative
despairs,yanke tsammani,yana yanke kauna,negative
sensible,mai hankali,mai hankali,positive
inflationary,kumbura,kumbura,negative
irrationality,rashin hankali,rashin hankali,negative
disused,ba amfani,ba amfani,negative
lucid,lucid,bayyananne,positive
jailed,daure,daure,negative
smoke,hayaki,hayaki,negative
welcome,barka da zuwa,barka da zuwa,positive
phenomenal,abin mamaki,abin mamaki,positive
sidetrack,gefen hanya,gefen hanya,negative
mobster,ɓarna,mabarnaci,negative
startlingly,abin mamaki,abin mamaki,negative
everlasting,har abada,har abada,positive
sullen,sullen,mara sakin fuska,negative
pretentiously,hakansamun,nuna wani bai isa ba,negative
sedition,fitina,fitina,negative
pampers,yan leken asiri,yana shagwaba,positive
bickering,kara,kara,negative
gibberish,gibberish,mai saurin zance,negative
derided,izgili,izgili,negative
importune,shigo da kaya,shigo da kaya,negative
undeserving,wanda bai cancanta ba,wanda bai cancanta ba,negative
unaccountable,wanda ba a iya lissafi,wanda ba a iya lissafi,negative
haunting,farauta,farauta,positive
dubitable,dubitable,mara tabbas,negative
delight,ni'ima,murna,positive
applaud,tafi,tafi,positive
complicit,wahalad da,wahalad da,negative
disproportionate,ba daidai ba,ba daidai ba,negative
stagnate,dagewa,dagewa,negative
heartily,da zuciya,da zuciya,positive
cataclysmically,cataclysmically,barna,negative
intimidates,tsoratarwa,ya tsawatar,negative
interruption,katsewa,katsewa,negative
grounded,tushe,tushe,negative
violator,mai keta doka,mai keta doka,negative
satisfying,gamsarwa,gamsarwa,positive
wripped,bulala,bulala,negative
worst,mafi munin,mafi munin,negative
velvety,velvety,na karammiski,positive
powerless,mara ƙarfi,mara ƙarfi,negative
soundly,lafiya,lafiya,positive
idyllic,idyllic,mai matukar farin ciki,positive
ordination,nadawa,nadawa,positive
adultery,zina,zina,negative
choppy,sarari,sarari,negative
sharpest,kaifi,mai kaifi matuka,positive
indiscreetly,ba tare da gajiyawa ba,ba tare da gajiyawa ba,negative
indiscreet,mara hankali,mara hankali,negative
pleas,roko,roko,negative
puppy,kwikwiyo,kwikwiyo,positive
jokes,barkwanci,barkwanci,positive
brighten,haskaka,haskaka,positive
gems,duwatsu masu daraja,duwatsu masu daraja,positive
spite,duk da,duk da,negative
whips,bulala,bulala,negative
vindicates,nuna,yana barranta,positive
apprehensive,fargaba,fargaba,negative
ignominy,wulakanci,wulakanci,negative
stingy,rowa,rowa,negative
erode,lalata,lalata,negative
corpse,gawa,gawa,negative
douchebag,douchebag,mara kirki,negative
abrogate,shafe,shafe,negative
daring,tsoro,tsoro,positive
morbidity,cututtuka,cututtuka,negative
forgive,gafarta,gafarta,positive
academy,ilimi,ilimi,positive
ulcer,miki,gyambon ciki,negative
cover-up,sutura,sutura,negative
pessimistic,rashin bege,cire haso,negative
flimflam,flimflam,karya,negative
unseemly,ba daidai ba,ba daidai ba,negative
undependability,rashin dogara,rashin dogara,negative
astringent,astringent,maganin da ke kyafar da fata ko rauni,negative
boom,albarku,yalwa,positive
extravagantly,almubazzaranci,almubazzaranci,negative
audacious,m,sakarci,negative
stiffness,taurin kai,kafiya,negative
hard-line,layi mai kauri,layi mai karfi,negative
refreshing,shakatawa,shakatawa,positive
tasty,dadi,dadi,positive
menacingly,menacingly,cikin hadari,negative
whine,kuka,kuka,negative
raptures,fyaucewa,fyaucewa,positive
impotent,rashin ƙarfi,rashin ƙarfi,negative
pimp,pimp,kawali,negative
astute,mai hankali,mai hankali,positive
almighty,madaukaki,madaukaki,positive
irritating,mai ban haushi,mai ban haushi,negative
plodding,shiryawa,shiryawa,negative
penetration,shigarwa,kutsawa,negative
mutilated,yanke jiki,yanke jiki,negative
decrepit,raguwa,raguwa,negative
interrogated,tambaya,tambaya,negative
accost,kara,kara,negative
bedrock,gindin gado,Kai'doji,positive
harried,haryana,haryana,negative
sly,wawa,wawa,negative
lunaticism,mahaukaci,mahaukaci,negative
readable,wanda za'a iya karantawa,wanda za'a iya karantawa,positive
ached,ciwo,ciwo,negative
finally,a ƙarshe,a ƙarshe,positive
animate,mai rai,mai rai,positive
soulful,mai son rai,mai son rai,positive
plated,kwano,kwano,negative
well-educated,masu ilimi,masani,positive
exasperatingly,cike da zafin rai,cike da zafin rai,negative
overbalanced,daidaitawa,daidaitawa,negative
income,samun kudin shiga,samun kudin shiga,positive
withdrawal,janyewa,janyewa,negative
saber,sabar,babbar takobi,negative
insignificant,maras muhimmanci,maras muhimmanci,negative
chilling,chilling,shakatawa,negative
dreadfulness,fargaba,fargaba,negative
cheaper,mai rahusa,mai rahusa,positive
speculative,hasashe,hasashe,negative
pauper,talakawa,talaka,negative
correct,daidai,daidai,positive
goood,goood,kyau,positive
objective,haƙiƙa,haƙiƙa,positive
build,gina,gina,positive
batter,batter,Wahalarwa,negative
acclaim,yabo,yabo,positive
expensive,tsada,tsada,negative
freaking,freaking,Jan hankali,negative
divinity,allahntaka,lamarin ubangiji,positive
blockade,toshewa,toshewa,negative
tangles,tangles,ya  shiga rigima,negative
maliciousness,zalunci,zalunci,negative
discreet,m,mai  fahimta,positive
erotic,na batsa,na batsa,negative
active,aiki,mai aiki,positive
brighter,haske,haske,positive
bash,bash,zagi,negative
surviving,tsira,tsira,positive
beating,duka,duka,negative
sorry,yi hakuri,yi hakuri,negative
ultimatum,ƙarshe,ƙarshe,negative
fired,kora,kora,negative
hasseling,hassamarin,hassalawa,negative
visionary,mai hangen nesa,mai hangen nesa,positive
classics,litattafan gargajiya,litattafan gargajiya,positive
moan,nishi,nishi,negative
ripped,yage,yage,negative
leukemia,cutar sankarar bargo,cutar sankarar bargo,negative
focused,mai da hankali,mai da hankali,positive
phony,phony,goge,negative
cathedral,babban coci,babban coci,positive
uncooperative,rashin hadin kai,rashin hadin kai,negative
pleased,yarda,yarda,positive
cornerstone,dutsen gini,muhimmin al'amari,positive
disintegrate,tarwatsewa,tarwatsewa,negative
sinking,nutsuwa,nutsuwa,negative
scratches,karce,karce,negative
overwhelming,rinjaye,rinjaye,positive
godsend,baiwar allah,baiwar allah,positive
intervention,tsoma baki,tsoma baki,positive
little-known,kaɗan-sananne,rashin shahara,negative
therapeutic,warkewa,warkewa,positive
irksomeness,rashin kunya,sosa rai,negative
latent,latent,abinda bai bunkasa ba,negative
acerbate,acerbate,ka batawa wani rai,negative
grandeur,girma,girma,positive
boldness,ƙarfin hali,ƙarfin hali,positive
felony,babban laifi,babban laifi,negative
stallion,jarumi,jarumi,positive
gnawing,cizon ta,yawan damuwa,negative
prblm,prblm,matsala,negative
censored,tacewa,tacewa,negative
population,yawan jama'a,yawan jama'a,positive
tumour,ƙari,kumburi,negative
depress,danniya,danniya,negative
disdained,raina,raina,negative
nomination,gabatarwa,gabatarwa,positive
retirement,ritaya,ritaya,negative
penchant,marubuci,marubuci,positive
gutter,gutter,kwata,negative
toleration,juriya,juriya,positive
intrigue,makirci,makirci,negative
inflame,kumbura,kumbura,negative
interests,bukatun,yana sha'awa,positive
gaby,gaby,mai  surutu,negative
bigotry,son zuciya,son zuciya,negative
abyss,rami,rami,negative
transgress,keta doka,keta doka,negative
rigid,m,kafaffe,negative
measly,gwargwado,gwargwado,negative
ghetto,ghetto,kazamar unguwa,negative
enviously,hassada,hassada,negative
imperialist,masarauta,masarauta,negative
exhilaratingly,exhilaratingly,cike da murna,positive
humanitarian,agaji,agaji,positive
cholera,kwalara,kwalara,negative
shelter,mafaka,mafaka,positive
catastrophe,masifa,masifa,negative
heavy-handed,mai nauyi,mai nauyi,negative
apologise,yi hakuri,yi afuwa,negative
innovate,kirkire-kirkire,kirkire-kirkire,positive
appreciate,godiya,godiya,positive
ally,abokin tarayya,abokin tarayya,positive
misconception,rashin fahimta,rashin fahimta,negative
audible,ji,ji,positive
insipid,insipid,mara karsashi,negative
dissed,dissed,fadin bakaken kalamai,negative
fractiously,rarrabe,rarrabe,negative
mafia,mafia,yan mafia,negative
world-famous,sanannen duniya,sanannen duniya,positive
leeway,leeway,hanyar jirgi,positive
harmonious,jitu,jitu,positive
statuesque,mutum-mutumi,mutum-mutumi,positive
traitor,maci amana,maci amana,negative
refresh,shakatawa,shakatawa,positive
aristocratic,aristocratic,dan babban gida mai matukar matsayi,positive
